id,article_id,question,
1577,546746,องค์กรเพื่อการปฏิรูประบบสถาบันการเงินมีชื่อย่ออะไร โดยเป็นนิติบุคคลจัดตั้งขึ้นโดยพระราชกำหนดการปฏิรูประบบสถาบันการเงิน พุทธศักราช 2540,
1578,359152,ไนมา โมรา เป็นนางแบบแฟชั่นชาวอะไร โดยเป็นผู้เข้าแข่งขันที่ได้รับตำแหน่งชนะเลิศในฤดูกาลที่ 4 ของรายการอเมริกาส์เน็กซ์ท็อปโมเดล,
1579,148408,อาร์เซนอลสเตเดียม เป็นสนามฟุตบอลแห่งหนึ่งในย่านใดของลอนดอนเหนือ,
1580,148408,สนามฟุตบอลอาร์เซนอลสเตเดียมเป็นที่รู้จักกันในชื่อว่าอะไร,
1581,944716,มาโลนาเกน เป็นกษัตริย์ชาวนิวเบียที่ปกครองที่เมืองอะไร,
1582,944716,กษัตริย์ชาวนิวเบียชื่อ มาโลนาเกน ทรงมีพระมเหสีพระนามว่าอะไร ซึ่งได้ถูกฝังอยู่ที่นูริ (Nu. 45),
1583,64580,เครื่องกำเนิดไฟฟ้า คืออุปกรณ์ที่แปลงพลังงานกลเป็นพลังงานอะไร,
1584,64580,เครื่องกำเนิดไฟฟ้าเรียกอีกอย่างว่าอะไร,
1585,380991,เทศกาลอะไรที่เป็นเทศกาลเฉลิมฉลองตามดวงดาวของญี่ปุ่น โดยชื่อเทศกาลหมายถึง ยามเย็นของวันที่เจ็ด,
1586,380991,เทศกาลทานาบาตะได้รับอิทธิพลจากตำนานอะไรจากประเทศจีน,
1588,787590,ฟีฟ่า 17 เป็นวิดีโอเกมจำลองฟุตบอลที่จัดจำหน่ายโดยผู้ใด,
1589,736264,บอระเพ็ดพุงช้าง เป็นพืชชนิดใดที่มีอายุหลายปี มีหัวกลมโผล่พ้นดิน และโคนต้นมีเปลือกแข็ง,
1590,229272,ต้อกระจก คือภาวะที่เกิดการขุ่นที่ส่วนใดของตา,
1591,229272,ต้อลม คือการเสื่อมที่ส่วนใดของตา,
1592,174963,พันธุ์ไม้มงคลพระราชทานประจำจังหวัด เป็นพันธุ์ไม้ที่ใครได้พระราชทานให้กับผู้ว่าราชการจังหวัดของแต่ละจังหวัด,
1593,185082,เบ็ตตี้ โรบินสัน เป็นนักวิ่งชาวอเมริกันที่เข้าแข่งขันแข่งโอลิมปิกฤดูร้อน 1928 ที่อัมสเตอร์ดัม และได้เหรียญทองในการแข่งขันวิ่งกี่เมตร,
1596,311518,ดัชชี่บอยแอนด์เกิร์ลเป็นการประกวดหนุ่มสาวที่ประสบความสำเร็จชั้นแนวหน้าของเมืองไทย เริ่มจัดการประกวดครั้งแรกเมื่อพ.ศ.ใด,
1597,548144,คทานกพิราบ เป็นพระคทาประจำพระองค์ ซึ่งเป็นหนึ่งในเครื่องราชกกุธภัณฑ์แห่งสหราชอาณาจักร มีชื่อเรียกอีกชื่อว่าอะไร,
1598,711804,เมฆ เมฆวัฒนา เป็นบุตรชายของใคร,
1599,929568,ชิลเดอแบต์ที่ 1 เป็นกษัตริย์แฟรงก์ของราชวงศ์ใด โดยเป็นพระโอรสคนที่สามในสี่คนของโคลวิสที่ 1,
1600,120796,มาดากัสการ์ เป็นภาพยนตร์การ์ตูนแอนิเมชันซึ่งทำการถ่ายทอดในสวนสัตว์ชื่ออะไรในนิวยอร์ก,
2390,631236,ศูนย์การค้าเอ็มควอเทียร์ เป็นศูนย์การค้าแห่งที่สองในกลุ่มดิ เอ็มดิสทริคบริหารงานโดยหน่วยงานใด,
2391,146997,แมนเนอริสม์เป็นศิลปะของการ “ทำขึ้น” ซึ่งตรงกันข้ามกับศิลปะประเภทใด,
2392,130401,ภาษาที่ใช้พูดในเทศบาลอันดาและโบลีเนาซึ่งอยู่จังหวัดใดของ ประเทศฟิลิปปินส์,
2393,273157,วิทยุสื่อสาร หรือเรียกอีกชื่อว่า วิทยุคมนาคม เป็นอุปกรณ์ที่แปลงกระแสไฟฟ้าเป็นพลังงานแบบใด,
2394,263348,ZB เป็นตัวย่อของหน่วยวัดขนาดข้อมูลในคอมพิวเตอร์ เขียนรูปเต็มว่าอะไร,
2395,39359,เอเค-47 หรือ ปืนอาก้า () เป็นปืนเล็กยาวจู่โจมขนาดกี่ม.ม.,
2396,39359,ปีพ.ศ. 2502 มีการนำปืนเอเค-47 มาปรับปรุงระบบกลไกและวิธีการผลิตต่างๆให้ดีขึ้นและเรียกในชื่อใหม่ว่าอะไร,
2397,500333,ไม้พุ่มชื่ออะไรที่มีชื่อเรียกหลายชื่อเช่น กระดาษขาว เม็งซอ หนวดแมวแดง แส้ม้าทะลาย ซิซอ คายซู,
2398,500333,รากของไม้พุ่มชื่อ ชิงชี่ ใช้นำมาทำยาอะไร,
2399,10392,วิธีการหนึ่งของการแสดงอิเล็กโตรเนกาทิวิตีหลายๆ วิธีคือวิธีอะไร,
2400,14259,แอสทาทีนคือธาตุที่มีหมายเลขอะตอมที่เท่าไร,
2401,492557,เมืองท่าทางทะเลที่สำคัญ และเป็นเมืองใหญ่เป็นอันดับ 3 ของประเทศโครเอเชียคือเมืองอะไร,
2402,492557,เยอรมนีเข้ายึดครองเมืองรีเยกาช่วงค.ศ. 1943-1945 และได้โอนให้แก่ยูโกสลาเวียตามสนธิสัญญาอะไรในปี 1947,
2403,245040,พระราชบัญญัติรับราชการทหารแห่งปี 1939 ของสหราชอาณาจักรเป็นกฎหมายที่มีผลบังคับใช้ทันทีโดยหน่วยงานใด,
2404,85629,สำนักส่งเสริมและพิทักษ์ผู้สูงอายุ (สพส.) เป็นหน่วยงานของรัฐในประเทศไทยที่ตั้งอยู่ตึกใดของสถานสงเคราะห์เด็กหญิงบ้านราชวิถี,
2405,583060,โอะเอะโยะเป็นมิไดคนแรกของรัฐบาลโชกุนโทะกุงะวะได้ถึงแก่กรรมเมื่ออายุกี่ปี,
4378,883129,จักรกลโมเลกุลสามารถแบ่งออกเป็นกี่ประเภท,
4379,155275,ฮั่นเกาจู่ เป็นคำออกเสียงตามภาษาจีนมาตรฐานตามภาษาจีน ถ้าตามภาษาฮกเกี้ยนเรียกว่าอะไร,
4380,155275,ในตำนานบันทึกว่า หญิงแก่เดินร้องไห้และกล่าวว่าบุตรข้าเป็นลูกจักรพรรดิขาวและกลายร่างเป็นอะไรอยู่ที่ถนน และถูฏจักรพรรดิแดงสังหารแล้ว,
4381,135726,กีฬาโปโลน้ำได้รับการบรรจุเข้าในโอลิมปิกในปีใด,
4382,135726,กีฬาโปโลน้ำในโอลิมปิกปี 2000 จัดที่เมืองใดของประเทศออสเตรเลีย,
4383,96326,ฮาเนดะ ทาเคชิ เป็นตัวละครจากเรื่องอะไร,
4384,52800,"จอห์น ""เจพี"" คัลเดอรอน (John ""J.P."" Calderon) คือผู้เข้าแข่งขันในรายการใดที่ถูกโหวตออกคนที่ 4",
4385,214149,A.I. Artificial Intelligence (หรือ Artificial Intelligence: A.I. หรือ A.I.) เป็นภาพยนตร์ไซไฟ ที่กำกับโดยผู้ใด,
4393,62794,วัดหงส์รัตนารามราชวรวิหาร เป็นวัดเก่าแก่ที่มีชื่ออื่นว่าอะไร,
4586,19030,ฟอร์โตเวส® (Fortovase®) เป็นชื่อทางการค้าของยาอะไร,
4587,256220,ลี้ ( หลี่) เป็นหน่วยวัดของจีนมีความยาวเท่ากับกี่เมตร,
4836,417472,ภาษาดัวโนจัดอยู่ในตระกูลภาษาอะไร กลุ่มภาษามาลาโย-โพลีเนเซีย สาขามาลาโย-ซุมบาวัน สาขาย่อยมาเลย์อิก,
4837,32901,"สตรีสี่คนที่ได้ชื่อว่างดงามที่สุดในประวัติศาสตร์จีนโบราณ คือ หวัง เจาจฺวิน, เตียวเสียน, หยางกุ้ยเฟย์ และใครอีกหนึ่งคน",
4838,32901,"ไซซี(Xi Shi, 沉鱼, 西施) มีชีวิตอยู่ช่วงในศตวรรษที่ 6 ก่อนคริสตกาล ในสมัยชุนชิว ได้ฉายาว่าอะไร",
4839,60933,ดาวเทียมสปุตนิก (Sputnik) ได้ถูกส่งขึ้นไปโคจรรอบโลกครั้งแรกเมื่อปี พ.ศ. อะไร,
4841,602464,มะเขือเผาะซึ่งเป็นพืชในวงศ์ Rubiaceae เป็นไม้ยืนต้นขนาดเล็ก มีอีกชื่อว่าอะไร,
4842,775554,ยีนเห็นแก่ตัว เป็นหนังสือเรื่องวิวัฒนาการเขียนที่พิมพ์ในปี 2519 เขียนโดยใคร,
4843,775554,ริชาร์ด ดอว์กินส์ใช้คำว่าอะไร เป็นวิธีนำเสนอมุมมองวิวัฒนาการที่มียีนเป็นศูนย์กลางซึ่งตรงกันข้ามกับมุมมองที่มุ่งสนใจสิ่งมีชีวิตและกลุ่ม,
4844,262965,ศิลปะสมัยใหม่ (Modern art) และศิลปะร่วมสมัย Contemporary art) หมายถึง ศิลปะ ณ ปัจจุบัน เริ่มต้นขึ้นในช่วงใด,
4845,262965,ในปี 1910 ประเทศอังกฤษมีนักวิจารณ์ชื่ออะไรที่ก่อตั้งชุมชนศิลปะร่วมสมัยขึ้นเพื่อซื้องานศิลปะเพื่อนำไปจัดวางในพิพิธภัณฑ์สาธารณะต่างๆ,
4846,574340,ชื่อสามัญและชื่อวิทยาศาสตร์ของยีราฟรอทส์ไชลด์นั้นตั้งมาจากชื่อของใคร,
4847,197425,ลมปราณภายในร่างกายจะเรียกว่าอะไร,
4848,145468,ชิงกันเซ็ง แปลว่าอะไร,
4849,145468,รถไฟความเร็วสูงสายแรกของชิงกันเซ็งชื่ออะไร,
4850,347577,"กูอิงบราจัดเป็นเมืองในประเทศใดซึ่งมีประชากร 137,212 คน",
4851,347577,มหาวิทยาลัยอะไรที่เป็นมหาวิทยาลัยเก่าแก่ที่สุดแห่งหนึ่งของโลกโดยก่อตั้งเมื่อค.ศ. 1290 และอยู่ในกลุ่มกูอิงบรา,
4852,477173,เมืองอุจิเป็นเมืองที่อยู่ในจังหวัดใดของญี่ปุ่น,
4853,477173,ในศตวรรษที่เท่าใด ซึ่งจักรพรรดิโอจิงได้โปรดฯให้สร้างพระราชวังในเมืองอุจิ,
4855,221101,ชัง ฮี-บิน เป็นสนมในพระเจ้าองค์ใด ที่เป็นพระมหากษัตริย์ราชอาณาจักรโชซ็อน,
4857,719482,บั๊กนิญเป็นเมืองทางตอนเหนือของประเทศใด,
4858,719482,เมืองบั๊กนิญมีเนื้อที่ทั้งหมดกี่ตารางกิโลเมตร,
4859,157127,พระเจ้าสุทโธทนะ มักเรียกว่า พระเจ้าสิริสุทโธทน์สุทรรศน์ มีพระนามราชสกุลว่าอะไร,
4860,388591,การใช้จิตวิทยาในความหมายที่จะพยายามจูงใจหรือหลอกล่อให้ผู้อื่นคล้อยตาม จะเรียกว่าอะไร,
4861,464621,จักจั่นทะเล เป็นสัตว์ไม่มีกระดูกสันหลัง จำพวกใดในไฟลัมย่อยครัสตาเชียน,
4862,464621,วิธีการจับจักจั่นทะเลด้วยวิธีแบบดั้งเดิม คือ ใช้สวิงที่มีความห่างของตาข่ายประมาณกี่เซนติเมตร,
4863,574788,อาร์เอ็นเอไวรัสคือ ไวรัสที่มีอาร์เอ็นเอเป็นสารพันธุกรรม โดยอาร์เอ็นเอมีอีกชื่อว่าอะไร,
4864,350632,"เก้ง หรืออีเก้งตัวผู้ เมื่อเวลาตกใจจะร้องว่า ""เอิ๊บ ๆ "" แล้วกระโดดหนีไป จึงเป็นที่มาของชื่อในภาษาอังกฤษว่าอะไร",
4865,762734,กีงส์แล กอมานเป็นนักฟุตบอลอาชีพชาวอะไร โดยปัจจุบันเล่นให้กับสโมสรฟุตบอลบาเยิร์นมิวนิก,
4866,888237,ยุทธการที่บูโลญเป็นการป้องกันที่ท่าเรือของที่เมืองใดโดยทหารฝรั่งเศส-อังกฤษและเบลเยียม,
4868,872172,ชวาเบินถูกผนวกเข้ากับรัฐใดในค.ศ. 1803,
4869,947172,โยอัน อัลเบร์โต เบเนกัส อูโลอาเป็นนักฟุตบอลชาติใด ที่ปัจจุบันเล่นให้กับเดปอร์ติโบซาปริซา,
4870,947172,เบเนกัสลงเล่นทีมชาตินัดแรกในการแข่งขันโกปาเซนโตรอาเมริกานาในปีใด,
4871,2483,ไม้ล้มลุก มีหัว มีใบประกอบคล้ายนิ้วมือ มักจะหุบใบในเวลากลางคืน ชื่อผีเสื้อราตรี มีอีกชื่อว่าอะไร,
4872,2483,ต้นปีกผีเสื้อมีสีชมพูม่วง มีกลีบดอก 5 กลีบ เป็นดอกสมบูรณ์เพศ มีเกสรตัวผู้กี่ตัว,
4873,64261,เรอูนียง หรือ เรอูว์นียง เป็นเกาะที่ตั้งอยู่บริเวณมหาสมุทรอะไร,
4874,64261,คนชาติใดที่เป็นชาวยุโรปพวกแรกที่เจอเกาะเรอูนียง ซึ่งขณะนั้นไม่มีผู้อาศัยอยู่ในปี พ.ศ. 2056,
4875,22609,แบเรียมซัลเฟต เป็นสารประกอบอะไรที่นำไปใช้ในทางการแพทย์,
4876,22609,สารประกอบไอออนิกใช้ในทางการแพทย์ ชื่อ แบเรียมซัลเฟต จัดเป็นสารประเภทใดสำหรับแสงเอ็กซ์ (X-ray) เพื่อการถ่ายภาพทางการแพทย์,
4877,24221,นนทรี จัดเป็นไม้ยืนต้นในวงศ์ถั่ว ทรงพุ่มสูงได้ถึงกี่เมตร,
4878,24221,ชาวโอรังอัสลีในรัฐเประ ประเทศมาเลเซีย ใช้เปลือกของต้นนนทรีบดเป็นผงเพื่อรักษาโรคอะไร,
4879,270667,ใครซึ่งมีผลงานที่มีชื่อเสียงมากมายเป็นที่จดจำ อย่างเช่น เรื่อง West Side Story (1954) และ On The Waterfront,
4880,270667,"หนังสือพิมพ์นิวยอร์กไทม์สยกย่องเบิร์นสไตน์ว่า ""นักดนตรีอัจฉริยะที่มีพรสวรรค์และประสบความสำเร็จมากที่สุดในประวัติศาสตร์อเมริกาในฐานะนักอะไร",
4881,895103,"ทนายความในความหมายของ ""ทนายแก้ต่าง"" ตรงกับภาษาอังกฤษว่าอะไร",
4883,336438,ภาวะการแข็งตัวขององคชาตในขณะนอนหลับของเพศชายที่ถือว่าเป็นอาการปกติ และเกิดขึ้นประมาณกี่ครั้งในเวลากลางคืน,
4884,336438,ขณะร่างกายอยู่ในภาวะหลับตื้น (REM sleep) เชื่อกันว่าอะไรมีส่วนในการรักษาองคชาตให้มีสุขภาพดี,
4885,225260,ปลาหางนกยูงเป็นปลาน้ำจืดที่มีขนาดเล็ก ที่มีความยาวเต็มที่ไม่เกินกี่นิ้ว,
4886,225260,ปลาอะไรที่เลี้ยงและขยายพันธุ์ง่าย จนกระทรวงสาธารณสุขรณรงค์ให้ในบ้านเพื่อให้มันกินลูกน้ำและยุง ช่วยป้องกันโรคต่างๆ ที่เกิดจากยุง,
4888,795799,ทังสเตนคาร์ไบด์ มีสูตรเคมีคือ WC ในรูปพื้นฐาน และมีลักษณะเป็นแบบใด,
4889,795799,ทังสเตนคาร์ไบด์เตรียมได้จากการทำปฏิกิริยาระหว่างทังสเตนกับคาร์บอนที่อุณหภูมิกี่ °C,
4892,95226,สมเด็จพระสันตะปาปาปิอุสที่ 3 ทรงดำรงตำแหน่งพระสันตะปาปาในปี ค.ศ.ใด,
4893,403804,ราชบุตรของเจ้าอินทวโรรสสุริยวงษ์ เจ้าผู้ครองนครเชียงใหม่ องค์ที่ 8 แห่งราชวงศ์ทิพย์จักร ชื่อว่าเจ้าราชวงศ์ จังหวัดเชียงใหม่ ทรงมีอีกชื่อว่าอะไร,
4895,20847,วิสา คัญทัพ เคยเป็นอดีตผู้ช่วยรัฐมนตรีประจำกระทรวงอะไร,
4896,669933,ความกระหายเกิดขึ้นจากการขาดของไหลหรือมีความเข้มข้นของสิ่งใดบางชนิดเพิ่มขึ้น,
4897,64222,ง้าว งิ้วน้อย งิ้วสร้อย งิ้วสาย เป็นไม้ยืนต้นขนาดกลาง ลำต้นสูงประมาณ 10–15 เมตร มีชื่อที่รู้จักดีคือต้นอะไร,
4898,494208,ละครรากบุญ เป็นละครแนวใด โดยเป็นบทประพันธ์โดย ช่อมณี และเขียนบทโทรทัศน์โดย เอกลิขิต,
4899,13734,รันม่า ½ () เป็นการ์ตูนญี่ปุ่น ที่เขียนเรื่องและภาพโดยทากาฮาชิ รูมิโกะ มีอีกชื่อว่าอะไร,
4900,252154,ในทางคณิตศาสตร์ ระบบพิกัดเชิงขั้วจะใช้ r แทนพิกัดอะไร,
4910,887207,ซีอาร์พี เป็นโปรตีนเพนตาเมอร์ชนิดหนึ่งซึ่งพบได้ในส่วนใดของร่างกาย,
4911,37473,ไคลฟ์ สเตเปิลส์ ลิวอิส เป็นที่รู้จักกันในนามใดซึ่งเป็นนักเขียนมีชื่อจากวรรณกรรมชุดตำนานแห่งนาร์เนีย ซึ่งได้แปลเป็นภาษาต่างๆมากกว่า 30 ภาษา,
4912,37473,นาร์เนียเป็นเรื่องราวสนุกสนานสำหรับเด็ก ที่ผสมผสานคติทางศาสนาใดได้ลงตัวสุดแยบยล,
4913,492277,เคโรเจน เป็นส่วนผสมของสารอินทรีย์ ซึ่งพบในหินประเภทใด,
4914,492277,"""เคโรเจน"" (Kerogen)ถูกเสนอโดยใคร ซึ่งเป็นนักเคมีอินทรีย์ชาวสก็อต ในปี ค.ศ. 1912",
4915,721439,"บรมยุคอาร์เคียน อยู่ระหว่าง 4,000(3,800) ล้านปีมาแล้งถึง 2,500 ล้านปีมาแล้ว เป็นยุคที่อากาศร้อนมากและเต็มไปด้วยอะไร",
4916,721439,ยุคบรมยุคอาร์เคียนนั้น อะไรคือจุดเด่น (สาหร่ายสีเขียวแกมนำเงิน) ซึ่งทำให้เกิดออกซิเจนในเวลาต่อมา,
4917,288274,เมมิลจ็อนเป็นอาหารเกาหลีที่ดั้งเดิมในท้องถิ่นของจังหวัดอะไร ซึ่งเป็นที่ปลูกข้าวบักวีต (buckwheat) อย่างกว้างขวาง,
4919,740333,ไฮนซ์ ฟิชเชอร์ เป็นนักการเมืองชาวอะไร,
4920,92826,กระดูกของพระพุทธเจ้าเรียกว่าอะไร,
4921,92826,สิ่งก่อสร้างที่ใช้บรรจุพระบรมสารีริกธาตุคืออะไร,
4922,567419,มหาวิทยาลัยเวย์นสเตตเป็นมหาวิทยาลัยวิจัยของรัฐตั้งอยู่ที่เมืองดีทรอยต์ของประเทศอะไร,
4923,75554,ธนบัตร 60 บาทเริ่มใช้เป็นครั้งแรกเมื่อใด,
4924,749854,ธนบัตร 10 ยูโร เป็นธนบัตรของเงินสกุลยูโร ซึ่งประกาศใช้ครั้งแรกเมื่อปี,
4925,186983,หมู่เกาะอันดามันและนิโคบาร์เป็นหมู่เกาะขนาดใหญ่ที่มีเกาะรวมกันทั้งหมดกี่เกาะ,
4946,60707,วินโดวส์เซิร์ฟเวอร์ 2003 (Windows Server 2003) เป็นระบบปฏิบัติการเซิร์ฟเวอร์จากบริษัทใด,
4947,361795,ตีจี อูโน (TeleGiornale 1; TG1) เป็นตราสัญลักษณ์ประจำรายการข่าว ทางสถานีวิทยุโทรทัศน์แห่งชาติอะไร,
4948,78618,อุทยานวิทยาศาสตร์พระจอมเกล้า ตั้งอยู่ ณ หว้ากอ จังหวัดอะไร,
4949,78618,พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว ทรงได้ชื่อว่าอะไรในฐานะที่ทรงคำนวณการเกิดสุริยุปราคาเต็มดวงได้อย่างแม่นยำ,
4950,104011,สมเด็จพระสันตะปาปาเกรกอรีที่ 1 หรือ นักบุญเกรกอรีผู้ยิ่งใหญ่ ประสูติในช่วงปึอะไร,
4951,435429,นกกระทา เป็นชื่อสามัญของนกในอันดับไก่ (Galliformes) มีอีกชื่อคืออะไร,
4952,435429,นกกระทาญี่ปุ่น (Coturnix japonica) ที่แต่เดิมเลี้ยงเพื่อฟังเสียงร้องคล้ายกับนกอะไร,
